"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"108","3300 BROADWAY","MANHATTAN","09 MANHATTAN","Precinct 30",7,1019870001,"10/18/2017","Open","Site downloaded for cleaning","",996472,237674,0,"in process","2017/10",NA,"Wednesday",1,"996472,237674",2
"109","2127 7 AVENUE","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019110001,"10/14/2017","Open","Site downloaded for cleaning","",998749,234356,0,"in process","2017/10",NA,"Saturday",1,"998749,234356",1
"110","32 WEST   28 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",3,1008290062,"10/08/2017","Open","Site downloaded for cleaning","",987244,210873,0,"in process","2017/10",NA,"Sunday",0,"987244,210873",1
"111","124 DELANCEY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003530042,"01/02/2018","Open","Site to be cleaned.","",987645,201018,0,"in process","2018/01",NA,"Tuesday",1,"987645,201018",4
"112","1596 ST NICHOLAS AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021580065,"12/07/2017","Open","Site to be cleaned.","",1003689,250701,0,"in process","2017/12",NA,"Thursday",1,"1003689,250701",1
"113","332 WEST   51 STREET","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010410047,"10/13/2017","Open","Site downloaded for cleaning","",987877,217417,0,"in process","2017/10",NA,"Friday",1,"987877,217417",1
"114","309 EAST    4 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003740065,"01/08/2018","Open","Site to be cleaned.","",989882,202353,0,"in process","2018/01",NA,"Monday",1,"989882,202353",1
"115","500 WEST  134 STREET","MANHATTAN","09 MANHATTAN","Precinct 30",7,1019870036,"01/25/2018","Open","Site to be cleaned.","",997299,237403,0,"in process","2018/01",NA,"Thursday",1,"997299,237403",1
"116","538 WEST  138 STREET","MANHATTAN","09 MANHATTAN","Precinct 30",7,NA,"10/18/2017","Open","Property Research Required","",997547,238499,0,"in process","2017/10",NA,"Wednesday",1,"997547,238499",1
"117","200 EAST  131 STREET","MANHATTAN","11 MANHATTAN","Precinct 25",9,1017800075,"11/25/2017","Open","Site to be cleaned.","",1002168,233815,0,"in process","2017/11",NA,"Saturday",1,"1002168,233815",1
"118","159 WEST  118 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019037503,"12/07/2017","Open","Site to be cleaned.","",998007,232201,0,"in process","2017/12",NA,"Thursday",1,"998007,232201",2
"119","95 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100016,"11/29/2017","Open","Site downloaded for cleaning","",987404,201646,0,"in process","2017/11",NA,"Wednesday",1,"987404,201646",1
"120","1618 ST NICHOLAS AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021610004,"11/22/2017","Open","Site downloaded for cleaning","",1003827,250951,0,"in process","2017/11",NA,"Wednesday",1,"1003827,250951",1
"121","3573 BROADWAY","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020930034,"11/22/2017","Open","Site downloaded for cleaning","",998166,240744,0,"in process","2017/11",NA,"Wednesday",1,"998166,240744",1
"122","119 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004490036,"11/16/2017","Open","Site downloaded for cleaning","",988240,204208,0,"in process","2017/11",NA,"Thursday",1,"988240,204208",1
"123","125 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100018,"11/14/2017","Open","Site downloaded for cleaning","",987427,201498,0,"in process","2017/11",NA,"Tuesday",1,"987427,201498",4
"124","149 AVENUE B","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003920004,"10/08/2017","Open","Site downloaded for cleaning","",989776,204011,0,"in process","2017/10",NA,"Sunday",0,"989776,204011",1
"125","19 PRINCE STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1005080047,"01/11/2018","Open","Site to be cleaned.","",985820,202615,0,"in process","2018/01",NA,"Thursday",1,"985820,202615",1
"126","122 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100002,"01/09/2018","Open","Site to be cleaned.","",987158,201414,0,"in process","2018/01",NA,"Tuesday",1,"987158,201414",3
"127","96 C AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003760004,"12/07/2017","Open","Site to be cleaned.","",990049,202964,0,"in process","2017/12",NA,"Thursday",1,"990049,202964",1
"128","2125 AMSTERDAM AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021110047,"12/07/2017","Open","Site to be cleaned.","",1001358,244636,0,"in process","2017/12",NA,"Thursday",1,"1001358,244636",1
"129","41 AVENUE D","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003740041,"12/20/2017","Open","Site to be cleaned.","",990408,202066,0,"in process","2017/12",NA,"Wednesday",1,"990408,202066",1
"130","240 8 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 10",3,1007720003,"12/18/2017","Open","Site to be cleaned.","",984577,210634,0,"in process","2017/12",NA,"Monday",1,"984577,210634",1
"131","3593 BROADWAY","MANHATTAN","09 MANHATTAN","Precinct 30",7,0,"11/01/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","12/05/2017",998299,240986,1,"Cleaning crew dispatched.  Cannot locate property.","2017/11",34,"Wednesday",1,"998299,240986",1
"132","1220 BROADWAY","MANHATTAN","05 MANHATTAN","Precinct 14",4,1008320022,"04/14/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/13/2017",987459,211392,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",90,"Friday",1,"987459,211392",2
"133","4468 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021700070,"08/25/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/08/2017",1002942,251541,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",75,"Friday",1,"1002942,251541",2
"134","515 WEST  182 STREET","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021550035,"10/20/2017","Closed","Cleaning crew dispatched.  Owner refused.","11/06/2017",1003325,248582,1,"Cleaning crew dispatched.  Owner refused.","2017/10",17,"Friday",1,"1003325,248582",1
"135","400 WEST  202 STREET","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021980018,"08/22/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/02/2017",1006473,252841,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",72,"Tuesday",1,"1006473,252841",1
"136","402 BROADWAY","MANHATTAN","01 MANHATTAN","Precinct 5",1,1001960002,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/12/2017",983582,201141,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",75,"Saturday",1,"983582,201141",1
"137","28 AVENUE A","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003980002,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",988246,202767,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",47,"Saturday",1,"988246,202767",1
"138","1020 ST NICHOLAS AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021090081,"07/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/08/2017",1000915,243547,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",21,"Tuesday",1,"1000915,243547",2
"139","13 AVENUE B","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003840008,"07/14/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",988818,202283,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",83,"Friday",1,"988818,202283",1
"140","373 1 AVENUE","MANHATTAN","06 MANHATTAN","Precinct 13",2,1009270031,"04/14/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/20/2017",990062,207428,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",67,"Friday",1,"990062,207428",1
"141","19 CLEVELAND PLACE","MANHATTAN","02 MANHATTAN","Precinct 5",1,1004810009,"10/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/05/2017",984989,202181,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",50,"Monday",1,"984989,202181",1
"142","104 WEST   17 STREET","MANHATTAN","04 MANHATTAN","Precinct 13",3,1007920038,"11/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",985370,208688,1,"Cleaning crew dispatched.  Property cleaned.","2017/11",33,"Wednesday",1,"985370,208688",1
"143","78 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004160069,"08/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/15/2017",987194,201734,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",81,"Saturday",1,"987194,201734",1
"144","186 WEST    4 STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1005907502,"04/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/07/2017",983716,206183,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",91,"Friday",1,"983716,206183",1
"146","162 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004110009,"03/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/02/2017",987374,201970,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",66,"Tuesday",1,"987374,201970",1
"147","1528 FIRST AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",5,1015590047,"03/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/22/2017",997446,220822,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",66,"Friday",1,"997446,220822",1
"148","88 THIRD AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1005580036,"02/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","04/13/2017",987550,205987,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",46,"Sunday",0,"987550,205987",2
"149","337 GRAND STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003090018,"10/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/09/2017",986985,200506,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",32,"Sunday",0,"986985,200506",2
"150","202 2 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004540004,"08/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/03/2017",988218,205714,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",69,"Saturday",1,"988218,205714",1
"151","142 WEST   19 STREET","MANHATTAN","04 MANHATTAN","Precinct 13",3,1007940063,"07/17/2017","Closed","Cleaning crew dispatched.  Owner refused.","10/13/2017",985392,209234,1,"Cleaning crew dispatched.  Owner refused.","2017/07",88,"Monday",1,"985392,209234",1
"152","3480 BROADWAY","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020740001,"08/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/13/2017",997598,239705,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",57,"Thursday",1,"997598,239705",1
"153","207 2 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004680034,"08/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/12/2017",988251,205786,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",47,"Saturday",1,"988251,205786",2
"154","428 EAST   14 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004410020,"08/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",989412,205551,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",40,"Saturday",1,"989412,205551",2
"155","112 WEST   14 STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006090031,"08/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/13/2017",984939,208017,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",39,"Saturday",1,"984939,208017",3
"156","305 EAST HOUSTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",2,1003500056,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/13/2017",988839,202084,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",46,"Saturday",1,"988839,202084",1
"157","3546 BROADWAY","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020770001,"08/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/11/2017",998018,240464,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",35,"Monday",1,"998018,240464",3
"158","301 EAST   39 STREET","MANHATTAN","06 MANHATTAN","Precinct 17",4,1009457501,"07/06/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","08/04/2017",991601,211750,1,"Cleaning crew dispatched.  Cannot locate property.","2017/07",29,"Thursday",1,"991601,211750",1
"159","402 WEST  153 STREET","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020670047,"06/13/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/17/2017",1000231,241510,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",34,"Tuesday",1,"1000231,241510",1
"160","515 WEST  159 STREET","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021180046,"06/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/20/2017",1000382,243266,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",34,"Friday",1,"1000382,243266",1
"161","518 EAST   83 STREET","MANHATTAN","08 MANHATTAN","Precinct 19",5,1015790041,"09/21/2017","Open","Site downloaded for cleaning","",998680,221159,0,"in process","2017/09",NA,"Thursday",1,"998680,221159",1
"162","248 WEST  204 STREET","MANHATTAN","12 MANHATTAN","Precinct 34",10,NA,"10/13/2017","Open","Property Research Required","",1006961,253163,0,"in process","2017/10",NA,"Friday",1,"1006961,253163",1
"163","11 11 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 10",3,1006510056,"08/02/2017","Open","Property Research Required","",981826,209838,0,"in process","2017/08",NA,"Wednesday",1,"981826,209838",1
"164","187 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004177501,"11/06/2017","Open","Site downloaded for cleaning","",987514,202338,0,"in process","2017/11",NA,"Monday",1,"987514,202338",1
"165","182 9 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 10",3,1007457504,"01/11/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",983655,210828,0,"in process","2018/01",NA,"Thursday",1,"983655,210828",1
"166","215 FIRST AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004540036,"11/14/2017","Open","Site downloaded for cleaning","",988911,205424,0,"in process","2017/11",NA,"Tuesday",1,"988911,205424",2
"167","166 BOWERY","MANHATTAN","02 MANHATTAN","Precinct 5",1,1004780033,"11/14/2017","Open","Site downloaded for cleaning","",985853,201563,0,"in process","2017/11",NA,"Tuesday",1,"985853,201563",3
"168","437 MANHATTAN AVENUE","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019450011,"10/04/2017","Open","Site downloaded for cleaning","",996510,233134,0,"in process","2017/10",NA,"Wednesday",1,"996510,233134",1
"169","99 AVENUE B","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003897501,"10/08/2017","Open","Site downloaded for cleaning","",989392,203315,0,"in process","2017/10",NA,"Sunday",0,"989392,203315",1
"170","77 WEST  104 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018400003,"09/06/2017","Open","Site downloaded for cleaning","",994352,229936,0,"in process","2017/09",NA,"Wednesday",1,"994352,229936",1
"171","2201 AMSTERDAM AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021120015,"01/03/2018","Open","Site to be cleaned.","",1001850,245525,0,"in process","2018/01",NA,"Wednesday",1,"1001850,245525",1
"172","84 CLINTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003480045,"01/11/2018","Open","Site to be cleaned.","",988333,201108,0,"in process","2018/01",NA,"Thursday",1,"988333,201108",3
"173","176 DELANCY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003480071,"01/11/2018","Open","Site to be cleaned.","",988374,200690,0,"in process","2018/01",NA,"Thursday",1,"988374,200690",2
"174","13 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002980026,"01/25/2018","Open","Site to be cleaned.","",986769,199815,0,"in process","2018/01",NA,"Thursday",1,"986769,199815",3
"175","231 ELDRIDGE STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004220064,"01/21/2018","Open","Site to be cleaned.","",987066,202441,0,"in process","2018/01",NA,"Sunday",0,"987066,202441",1
"176","150 STANTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",2,1003550071,"01/17/2018","Open","Site to be cleaned.","",988262,201797,0,"in process","2018/01",NA,"Wednesday",1,"988262,201797",2
"177","4 EAST   33 STREET","MANHATTAN","05 MANHATTAN","Unspecified",4,1008627503,"12/08/2017","Open","Site to be cleaned.","",988485,211657,0,"in process","2017/12",NA,"Friday",1,"988485,211657",1
"178","1309 ST NICHOLAS AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021440061,"12/07/2017","Open","Site to be cleaned.","",1001859,247412,0,"in process","2017/12",NA,"Thursday",1,"1001859,247412",1
"179","45 EAST    1 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004427501,"12/12/2017","Open","Site to be cleaned.","",987074,202990,0,"in process","2017/12",NA,"Tuesday",1,"987074,202990",1
"180","155 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004517502,"12/02/2017","Open","Site to be cleaned.","",988509,204691,0,"in process","2017/12",NA,"Saturday",1,"988509,204691",2
"181","204 WEST   14 STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006180028,"12/18/2017","Open","Site to be cleaned.","",984196,208426,0,"in process","2017/12",NA,"Monday",1,"984196,208426",2
"182","188 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004120009,"11/06/2017","Open","Site to be cleaned.","",987524,202346,0,"in process","2017/11",NA,"Monday",1,"987524,202346",1
"183","158 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003490032,"11/05/2017","Open","Site to be cleaned.","",988307,201294,0,"in process","2017/11",NA,"Sunday",0,"988307,201294",1
"184","260 WEST   57 STREET","MANHATTAN","05 MANHATTAN","Precinct 18",3,1010280056,"04/01/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","07/13/2017",989141,218528,1,"Cleaning crew dispatched.  Cannot locate property.","2017/04",103,"Saturday",1,"989141,218528",1
"185","55 PITT STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003430066,"05/31/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/26/2017",989005,200737,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",26,"Wednesday",1,"989005,200737",1
"186","55 CANAL STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002990033,"05/12/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/26/2017",986479,199744,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",45,"Friday",1,"986479,199744",3
"187","112 SOUTH STREET","MANHATTAN","01 MANHATTAN","Precinct 1",1,1000970004,"03/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/22/2017",983680,196810,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",91,"Thursday",1,"983680,196810",1
"188","5120 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 34",10,1022140008,"03/21/2017","Closed","Cleaning crew dispatched. No graffiti on property.","05/31/2017",1008301,256795,1,"Cleaning crew dispatched. No graffiti on property.","2017/03",71,"Tuesday",1,"1008301,256795",1
"189","446 WEST   54 STREET","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010630055,"02/24/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/22/2017",987439,218554,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",87,"Friday",1,"987439,218554",1
