INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
183 HUMBOLDT STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030530022,08/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/25/2017,1000445,197165
2128 79 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3062760017,06/14/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/25/2017,986703,160335
355 COVERT STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034190038,07/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/22/2017,1010515,191941
2850 WEBB AVENUE,BRONX,08 BRONX,Precinct 50,14,2032500065,07/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/10/2017,1011725,257442
879 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011420087,07/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/10/2017,995842,186048
57 HALE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039150002,06/11/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/10/2017,1017296,188483
757 HUGUENOT AVENUE,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,5063330156,07/06/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/08/2017,930364,134632
2141 EAST   27 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,46,3073600074,05/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,07/17/2017,999660,157492
1 BEADEL STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028340058,11/09/2017,Closed,10-91 - Non-Crime Corrected,11/09/2017,1000676,201935
1190 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,41,3016130012,01/10/2018,Closed,10-90X - Unfounded,01/10/2018,1004418,191565
3818 BARNES AVENUE,BRONX,12 BRONX,Precinct 47,12,2046780043,08/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2017,1023059,261071
311 BERGEN STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001980048,06/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2017,989473,188151
267 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3023537501,05/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/20/2017,995776,199675
384 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027737503,10/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2017,997761,198657
2180 BOLTON STREET,BRONX,11 BRONX,Precinct 49,13,2043170092,11/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/27/2017,1020586,251092
655 BURKE AVENUE,BRONX,12 BRONX,Precinct 47,15,2045940001,10/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/27/2017,1020428,256812
3216 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,15,2045960009,10/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/20/2017,1020997,256965
3680 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,13,2055430105,08/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/10/2017,1033233,240753
2061 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2039320001,06/15/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,08/23/2017,1024112,243071
715 LYDIG AVENUE,BRONX,11 BRONX,Precinct 49,13,2043180057,07/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/23/2017,1021042,250621
8 EVERGREEN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031230037,07/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/15/2017,1002515,195420
859 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011330090,06/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/09/2017,995018,186576
71 READE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,01,1001497503,05/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2017,982359,199805
311 EAST   11 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004537501,05/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2017,988286,205232
1413 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018540052,07/10/2017,Open,Mail returned / wrong address,,999566,187075
126-24 FARMERS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4124920001,02/01/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1050530,187685
3405 THIRD AVENUE,BRONX,03 BRONX,Precinct 42,16,2023710050,01/31/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1010002,241143
1285 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 18,04,1010040029,01/02/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989841,216440
1901 STORY AVENUE,BRONX,09 BRONX,Precinct 43,18,2036710006,01/06/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1023098,239551
102-29 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4091870044,12/28/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1027416,192589
783 HICKS STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005390001,01/17/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,982857,185620
149 34 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006840056,12/22/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,983066,178292
1507 BUSHWICK AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034620001,12/01/2017,Open,Site downloaded for cleaning,,1010188,188079
1234 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012000016,11/29/2017,Open,Site downloaded for cleaning,,997645,186497
85 FOUNTAIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041560011,11/28/2017,Open,Site downloaded for cleaning,,1018631,186347
36 WEST   37 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008380070,11/16/2017,Open,Site downloaded for cleaning,,988555,212841
2342 FREDRICK DOUGLAS BOULEVARD,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019310061,11/16/2017,Open,Site downloaded for cleaning,,997857,234604
103-45 LEFFERTS BOULEVARD,QUEENS,10 QUEENS,Precinct 106,28,4095570047,11/16/2017,Open,Site downloaded for cleaning,,1032891,189674
926 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015840025,10/26/2017,Open,Site downloaded for cleaning,,1001977,193376
183 LORRAINE STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005720001,11/10/2017,Open,Site downloaded for cleaning,,983612,184507
265 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,33,3004080009,10/06/2017,Open,Site downloaded for cleaning,,985737,188822
228 40 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007120018,10/06/2017,Open,Site downloaded for cleaning,,981379,177630
1903 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073240052,10/23/2017,Open,Site downloaded for cleaning,,997465,157614
1673 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065830070,04/13/2017,Open,Site downloaded for cleaning,,991581,162254
334 EAST FORDHAM ROAD,BRONX,05 BRONX,Precinct 46,15,2030230037,01/29/2018,Open,Site to be cleaned.,,1013741,253307
129 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010020001,01/27/2018,Open,Site to be cleaned.,,986203,184254
100 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003010003,01/11/2018,Open,Site to be cleaned.,,986165,200336
30 WEST FORDHAM ROAD,BRONX,07 BRONX,Precinct 52,14,2031990026,01/19/2018,Open,Site to be cleaned.,,1011172,253594
30 WEST KINGSBRIDGE ROAD,BRONX,07 BRONX,Precinct 52,14,2032050025,01/19/2018,Open,Site to be cleaned.,,1012239,255431
1628 BATHGATE AVENUE,BRONX,03 BRONX,Precinct 42,16,2029200002,01/23/2018,Open,Site to be cleaned.,,1011727,245438
141 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004240027,01/14/2018,Open,Site to be cleaned.,,986171,201468
1140 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042020017,01/24/2018,Open,Site to be cleaned.,,1021039,186555
1196 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042050016,01/24/2018,Open,Site to be cleaned.,,1021693,186667
1035 ATLANTIC AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3020200086,12/12/2017,Open,Site to be cleaned.,,996040,186903
2919 SURF AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070510054,12/11/2017,Open,Site to be cleaned.,,985604,147986
814 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,40,3053930027,12/12/2017,Open,Site to be cleaned.,,993023,171657
830 FOUNTAIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3044520425,12/14/2017,Open,Site to be cleaned.,,1021229,179693
126 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003530041,12/14/2017,Open,Site to be cleaned.,,987668,201009
167-20 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4098180077,11/29/2017,Open,Site to be cleaned.,,1040986,197950
3033 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039560023,12/04/2017,Open,Site to be cleaned.,,1016806,186510
100 WEST   14 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006090038,12/18/2017,Open,Site to be cleaned.,,985006,207980
4425 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021800488,12/15/2017,Open,Site to be cleaned.,,1002780,251145
958 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008360083,11/22/2017,Open,Site to be cleaned.,,987754,212650
152 6 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009910011,11/07/2017,Open,Site to be cleaned.,,986680,184868
8728 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3064020035,11/15/2017,Open,Site to be cleaned.,,982766,159582
270 FLATBUSH AVENUE EXTENSION,BROOKLYN,02 BROOKLYN,Precinct 84,33,3020600001,11/08/2017,Open,Site to be cleaned.,,989025,191581
1011 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047220040,11/05/2017,Open,Site to be cleaned.,,1003668,175552
518 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030550058,07/30/2017,Open,Mail returned / wrong address,,1014596,251521
10 ST NICHLAS TERRACE,MANHATTAN,09 MANHATTAN,Precinct 26,09,1019540016,02/01/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,997572,235398
51 HALE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039150005,10/19/2017,Open,Site downloaded for cleaning,,1017287,188535
727 AVENUE V,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071340035,10/04/2017,Open,Site downloaded for cleaning,,994430,156387
2 EAST   67 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,04,1013810069,10/06/2017,Open,Site downloaded for cleaning,,992801,219505
898 EAST  169 STREET,BRONX,02 BRONX,Precinct 41,17,2026920045,12/29/2017,Open,Site to be cleaned.,,1013173,240965
2446 UNIVERSITY AVENUE,BRONX,07 BRONX,Precinct 52,14,2032130018,01/08/2018,Open,Site to be cleaned.,,1010742,254022
141 MARCY PLACE,BRONX,04 BRONX,Precinct 44,16,2028410078,01/07/2018,Open,Site to be cleaned.,,1007530,244573
109-55 GUY BREWER BOULEVARD,QUEENS,12 QUEENS,Precinct 103,27,4101810035,12/07/2017,Open,Site to be cleaned.,,1042634,192240
574 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027610028,12/12/2017,Open,Site to be cleaned.,,998101,199431
1046 39 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3055840019,12/17/2017,Open,Site to be cleaned.,,986538,173872
2265 CHATTERTON AVENUE,BRONX,09 BRONX,Precinct 43,18,2038160052,12/20/2017,Open,Site to be cleaned.,,1026208,241193
880 68 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3057700036,12/04/2017,Open,Site to be cleaned.,,980743,168760
4 LEXINGTON AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,02,1008770074,11/27/2017,Open,Site to be cleaned.,,988264,208318
1010 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3052880011,12/19/2017,Open,Site to be cleaned.,,986538,174206
341 PARKVILLE AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3054250087,11/29/2017,Open,Site to be cleaned.,,993280,169879
1543 WEST    7 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066000073,11/13/2017,Open,Site to be cleaned.,,989539,161289
50 LEXINGTON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019690042,01/27/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995243,189419
92-61 165 STREET,QUEENS,12 QUEENS,Precinct 103,27,4101557501,02/01/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1041438,195824
3593 THIRD AVENUE,BRONX,03 BRONX,Precinct 42,16,2023737501,01/31/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1010490,242577
207 CABRINI BOULEVARD,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021790155,07/14/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001163,250555
34th 34th Avenue,QUEENS,01 QUEENS,Unspecified,,,02/06/2018,Open,Property Research Required,,,
2nd 2nd ave,BROOKLYN,01 BROOKLYN,Unspecified,,,01/24/2018,Open,Property Research Required,,,
160 west dykman,MANHATTAN,01 MANHATTAN,Unspecified,,,12/26/2017,Open,Property Research Required,,,
 1030 castle hill road,BRONX,01 BRONX,Unspecified,,,12/20/2017,Open,Property Research Required,,,
527 BERGEN AVENUE,BRONX,01 BRONX,Precinct 40,17,,11/17/2017,Open,Property Research Required,,1007144,236367
 S/E C/O NEW YORK AVE AND NEWKIRK,BROOKLYN,01 BROOKLYN,Unspecified,,,11/01/2017,Open,Property Research Required,,,
 rivington street,MANHATTAN,01 MANHATTAN,Unspecified,,,10/18/2017,Open,Property Research Required,,,
 1347 46 st,BROOKLYN,01 BROOKLYN,Unspecified,,,10/18/2017,Open,Property Research Required,,,
61-14 BORDEN AVENUE,QUEENS,05 QUEENS,Precinct 104,30,,10/20/2017,Open,Property Research Required,,1010860,203697
152 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,,09/07/2017,Open,Property Research Required,,1006296,195220
 4924 50 st,BROOKLYN,01 BROOKLYN,Unspecified,,,07/18/2017,Open,Property Research Required,,,
1578 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,,06/30/2017,Open,Property Research Required,,991430,163240
1298 whitlock avenue,BRONX,01 BRONX,Unspecified,,,07/07/2017,Open,Property Research Required,,,
1047 IRVING AVENUE,QUEENS,05 QUEENS,Precinct 104,34,,06/13/2017,Open,Property Research Required,,1010547,192056
 SOUTH WEST CORNER ALEXANDER HAMILTON BRIDGE AND HARLEM RIVER DRIVE,MANHATTAN,01 MANHATTAN,Unspecified,,,04/15/2017,Open,Property Research Required,,,
83 EAST HOUSTON STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,,04/24/2017,Open,Property Research Required,,986179,203151
320 BOLTON AVENUE,BRONX,09 BRONX,Precinct 43,18,,05/06/2017,Open,Property Research Required,,1023867,235043
233 south first street,BRONX,01 BRONX,Unspecified,,,04/04/2017,Open,Property Research Required,,,
923 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031500001,10/13/2017,Open,Site downloaded for cleaning,,1001966,193392
4200 WHITEPLAINS ROAD,BRONX,12 BRONX,Precinct 47,11,2049970058,01/03/2018,Open,Site to be cleaned.,,1023706,264844
60 CUMBERLAND STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020290049,12/18/2017,Open,Site to be cleaned.,,991315,193058
2914 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2041630014,12/04/2017,Open,Site to be cleaned.,,1030431,247682
286 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3021410012,01/31/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995762,197449
170 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007440003,01/03/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,983560,210657
576 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,03,1010320162,01/03/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,986259,215529
21 EAST THIRD STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004590039,01/25/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,986834,203753
87-29 MYRTLE AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4038490035,11/29/2017,Open,Site downloaded for cleaning,,1022983,195485
6224 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058000044,11/30/2017,Open,Site downloaded for cleaning,,979380,171778
1506 CORTELYOU ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051580002,11/21/2017,Open,Site downloaded for cleaning,,994184,172923
51 MACDOUGAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,03,1005200079,11/22/2017,Open,Site downloaded for cleaning,,983605,204448
880 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,35,3012820041,10/26/2017,Open,Site downloaded for cleaning,,997927,182610
6501 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065787501,11/04/2017,Open,Site downloaded for cleaning,,989393,162898
146 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,02,1008710039,10/15/2017,Open,Site downloaded for cleaning,,987968,206738
163 GATES AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019690086,09/07/2017,Open,Site downloaded for cleaning,,994983,188840
96 AVENUE A,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004020001,08/04/2017,Open,Site downloaded for cleaning,,988725,203631
77 AVENUE C,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003870140,01/29/2018,Open,Site to be cleaned.,,989898,202704
206 AVENUE O,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066040001,01/13/2018,Open,Site to be cleaned.,,990608,161867
26 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002977501,01/25/2018,Open,Site to be cleaned.,,986830,199957
289 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3004290007,01/22/2018,Open,Site to be cleaned.,,986024,187775
146 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002830064,01/09/2018,Open,Site to be cleaned.,,986720,199400
2202 SURF AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070710009,12/11/2017,Open,Site to be cleaned.,,987342,148485
109-22 MYRTLE AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4091950009,11/25/2017,Open,Site to be cleaned.,,1028362,194710
32-41 STEINWAY AVENUE,QUEENS,01 QUEENS,Precinct 114,26,4006760028,12/12/2017,Open,Site to be cleaned.,,1006417,215352
2384 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2031880004,12/26/2017,Open,Site to be cleaned.,,1011297,253027
1527 MERMAID AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070220054,12/11/2017,Open,Site to be cleaned.,,988970,149431
3161 CONEY ISLAND AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087070067,12/12/2017,Open,Site to be cleaned.,,995447,150166
5122 FOURTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007980043,12/12/2017,Open,Site to be cleaned.,,980546,174538
2538 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3040230016,12/08/2017,Open,Site to be cleaned.,,1017929,185013
7305 20 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3062070008,12/19/2017,Open,Site to be cleaned.,,986845,162208
246 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005070041,12/18/2017,Open,Site to be cleaned.,,986155,202595
130 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004100004,12/14/2017,Open,Site to be cleaned.,,987195,201508
1051 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051320057,12/13/2017,Open,Site to be cleaned.,,995899,174367
864 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010660064,12/18/2017,Open,Site to be cleaned.,,987369,219390
203 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002710034,12/15/2017,Open,Site to be cleaned.,,987086,198922
171 SOUTH    4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024320040,12/15/2017,Open,Site to be cleaned.,,994998,198421
313 UTICA AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,41,3014030004,12/15/2017,Open,Site to be cleaned.,,1003321,182401
102 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004020039,12/20/2017,Open,Site to be cleaned.,,989403,203347
76 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004080005,12/14/2017,Open,Site to be cleaned.,,986891,200729
525 EDGECOMBE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,07,1021080033,12/19/2017,Open,Site to be cleaned.,,1000970,242725
115-22 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4095380008,11/16/2017,Open,Site to be cleaned.,,1032101,189166
3150 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041370119,11/14/2017,Open,Site to be cleaned.,,1017900,187697
92 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004110036,11/16/2017,Open,Site to be cleaned.,,987374,201665
205-21 35 AVENUE,QUEENS,11 QUEENS,Precinct 111,19,4060900025,07/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2017,1044474,218701
131 DIVISION STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002830083,07/29/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,09/15/2017,986625,199575
5516 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056840001,08/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2017,985491,169301
2236 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063820039,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2017,986233,158364
141 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004240027,08/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/12/2017,986171,201468
2353 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039700008,10/28/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,11/28/2017,1026535,244031
800 JAMAICA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041050032,11/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2017,1018911,190272
248 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,08,2023200066,10/03/2017,Closed,Cleaning crew dispatched.  Owner refused.,11/27/2017,1004232,234926
231-19 MERRICK BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31,4129700001,05/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/13/2017,1056668,185527
8621 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063690036,05/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/11/2017,983366,160325
987 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011340081,05/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2017,996046,186293
443 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032890001,04/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/26/2017,1006705,194023
