INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
532 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010260032,10/06/2017,Open,Site downloaded for cleaning,,986226,183103
4150 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,12,2052820008,08/12/2017,Open,Site downloaded for cleaning,,1032270,262330
791 LYDIG AVENUE,BRONX,11 BRONX,Precinct 49,13,2043210001,01/18/2018,Open,Site to be cleaned.,,1021808,250602
844 OLMSTEAD AVENUE,BRONX,09 BRONX,Precinct 43,18,2036850008,12/19/2017,Open,Site to be cleaned.,,1025121,239505
101 SOUTH    8 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3021310034,01/30/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993948,197825
1817 KINGS HIGHWAY,BROOKLYN,15 BROOKLYN,Precinct 61,48,3067810077,01/31/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,996732,161574
627 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010540130,01/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,986592,216142
949 OGDEN AVENUE,BRONX,04 BRONX,Precinct 44,08,2025240016,01/03/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1003568,242228
107-12 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4092970083,12/28/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1028569,192674
2079 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3067940072,01/21/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994855,160228
396 WEST STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006360041,12/26/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,981406,206422
124 30 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006720012,12/22/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,983590,179197
1202 OCEAN PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065410007,11/27/2017,Open,Site downloaded for cleaning,,992715,164810
2307 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073280049,11/21/2017,Open,Site downloaded for cleaning,,998595,157777
93-10 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,32,4091620005,11/15/2017,Open,Site downloaded for cleaning,,1027057,187129
1040 CARROLL STREET,BROOKLYN,09 BROOKLYN,Precinct 71,35,3012870039,10/26/2017,Open,Site downloaded for cleaning,,996237,182498
146 SHERIDAN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041810055,11/10/2017,Open,Site downloaded for cleaning,,1021063,186756
852 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050820033,11/10/2017,Open,Site downloaded for cleaning,,995620,176668
259 AVENUE X,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071730045,10/23/2017,Open,Site downloaded for cleaning,,991652,154307
361 MYRTLE AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020450099,10/23/2017,Open,Site downloaded for cleaning,,992128,191832
